DATE,Gemeinde,YEAR,MONTH,tot_unt_Arbeitslose_Einw,aircraft
1932-02-01,Augsburg,1932,2,45.196238880601975,469.1
1933-02-01,Augsburg,1933,2,31.155213510645087,4012.57
1934-02-01,Augsburg,1934,2,18.839126810696346,5265.549999999999
1935-02-01,Augsburg,1935,2,17.20048122758433,3853.68
1936-02-01,Augsburg,1936,2,16.599483672267766,2528.23
1932-02-01,Berlin,1932,2,68.3972812368654,0.0
1933-02-01,Berlin,1933,2,58.88741642436584,12.18
1934-02-01,Berlin,1934,2,46.23578117238744,280.71
1935-02-01,Berlin,1935,2,33.622050795163446,1443.92
1936-02-01,Berlin,1936,2,31.196832805985363,3582.97
1932-02-01,Brandenburg,1932,2,107.20435574068911,12.98
1933-02-01,Brandenburg,1933,2,56.524717615383395,298.56
1934-02-01,Brandenburg,1934,2,40.209626602614094,3327.95
1935-02-01,Brandenburg,1935,2,21.8013310941096,9288.960000000001
1936-02-01,Brandenburg,1936,2,14.76083707025411,18768.0
1932-02-01,Braunschweig,1932,2,56.30130831960573,27.77
1933-02-01,Braunschweig,1933,2,38.17837954570739,1542.58
1934-02-01,Braunschweig,1934,2,23.900379048055154,6188.3
1935-02-01,Braunschweig,1935,2,14.311270125223613,6381.86
1936-02-01,Braunschweig,1936,2,15.566617722546528,8432.980000000001
1932-02-01,Bremen,1932,2,78.40577744626026,688.52
1933-02-01,Bremen,1933,2,49.0557435578016,5940.139999999999
1934-02-01,Bremen,1934,2,37.285319928115754,9682.279999999999
1935-02-01,Bremen,1935,2,30.296186059175334,13293.4
1936-02-01,Bremen,1936,2,21.293387598458708,12923.76
1932-02-01,Dessau,1932,2,69.10158114977392,1077.98
1933-02-01,Dessau,1933,2,51.857933628201394,1832.58
1934-02-01,Dessau,1934,2,21.209311776883123,18333.52
1935-02-01,Dessau,1935,2,4.301484583174724,37160.15
1936-02-01,Dessau,1936,2,5.748420792981779,46550.4
1932-02-01,Friedrichshafen,1932,2,40.59432210135314,0.0
1933-02-01,Friedrichshafen,1933,2,22.78787878787879,423.07
1934-02-01,Friedrichshafen,1934,2,6.299332119004251,933.97
1935-02-01,Friedrichshafen,1935,2,2.6321901370287217,36774.34
1936-02-01,Friedrichshafen,1936,2,2.7000675016875424,29221.79
1932-02-01,Gotha,1932,2,54.49740072517583,247.86
1933-02-01,Gotha,1933,2,39.28091612820677,2597.7
1934-02-01,Gotha,1934,2,25.729670836214304,3794.55
1935-02-01,Gotha,1935,2,22.69979572268312,2262.12
1936-02-01,Gotha,1936,2,20.305525869114227,7735.33
1932-02-01,Halle a. d. Saale,1932,2,63.998848719714644,23.03
1933-02-01,Halle a. d. Saale,1933,2,55.148634337364236,2008.37
1934-02-01,Halle a. d. Saale,1934,2,23.601285866455225,5959.210000000001
1935-02-01,Halle a. d. Saale,1935,2,16.497614080521785,6940.38
1936-02-01,Halle a. d. Saale,1936,2,20.978987651849838,4381.349999999999
1932-02-01,Hamburg,1932,2,76.19122634690586,0.0
1933-02-01,Hamburg,1933,2,57.6128968020493,0.0
1934-02-01,Hamburg,1934,2,49.73700880433313,0.0
1935-02-01,Hamburg,1935,2,37.345838466531546,99.61
1936-02-01,Hamburg,1936,2,37.03208212655832,3309.79
1932-02-01,Kassel,1932,2,47.89955587117354,2.14
1933-02-01,Kassel,1933,2,30.48987019846259,199.67
1934-02-01,Kassel,1934,2,21.65550081541967,3153.43
1935-02-01,Kassel,1935,2,18.113728870646398,3282.84
1936-02-01,Kassel,1936,2,16.20043701916511,14686.56
1932-02-01,Leipzig,1932,2,66.40036266013564,185.61
1933-02-01,Leipzig,1933,2,47.90581123607726,342.4
1934-02-01,Leipzig,1934,2,40.94639647596856,3355.81
1935-02-01,Leipzig,1935,2,35.949350031371985,7832.530000000001
1936-02-01,Leipzig,1936,2,32.37265246894423,13298.41
1932-02-01,Oranienburg,1932,2,73.19880823401951,0.0
1933-02-01,Oranienburg,1933,2,42.13657206593134,0.0
1934-02-01,Oranienburg,1934,2,19.459333488697272,112.37
1935-02-01,Oranienburg,1935,2,21.500350549193737,0.0
1936-02-01,Oranienburg,1936,2,16.617733411626542,936.41
1932-02-01,Oschersleben,1932,2,90.50007375719133,22.88
1933-02-01,Oschersleben,1933,2,43.84570933256284,266.49
1934-02-01,Oschersleben,1934,2,24.398918765115948,2407.5
1935-02-01,Oschersleben,1935,2,23.19971621142249,4667.47
1936-02-01,Oschersleben,1936,2,16.796598157335225,9543.77
1932-02-01,Regensburg,1932,2,48.40030680828382,0.0
1933-02-01,Regensburg,1933,2,29.802490879355894,0.0
1934-02-01,Regensburg,1934,2,29.895476374712896,123.75
1935-02-01,Regensburg,1935,2,29.794309644044834,247.49
1936-02-01,Regensburg,1936,2,31.222950414245087,1812.8
1932-02-01,Rostock,1932,2,65.60076148334898,768.1800000000001
1933-02-01,Rostock,1933,2,42.220069007893365,7098.69
1934-02-01,Rostock,1934,2,14.489041339985745,20833.23
1935-02-01,Rostock,1935,2,5.975240715268225,43199.63
1936-02-01,Rostock,1936,2,12.345811549238318,49008.94
1932-02-01,Stuttgart,1932,2,42.80009228538156,0.0
1933-02-01,Stuttgart,1933,2,33.59041755425969,1176.6
1934-02-01,Stuttgart,1934,2,18.45146379044684,2215.4
1935-02-01,Stuttgart,1935,2,9.299540053660406,448.73
1936-02-01,Stuttgart,1936,2,4.996733924521116,200.2199999999998
1932-02-01,Wismar,1932,2,85.40336845343383,0.0
