,Unnamed: 0,lfnr,krnr,agglvl,name,wkr,regbez,agg2833k,agg2833v,krnrv,c25wohn,c25lselb,c25lgewb,c25langs,c25larb,c25lmith,c25iselb,c25igewb,c25iangs,c25iarb,c25imith,c25hselb,c25hangs,c25harb,c25hmith,c25vselb,c25vangs,c25varb,c25vmith,c25gselb,c25ggewb,c25gangs,c25garb,c25gmith,c25dselb,c25dgewb,c25dangs,c25darb,c25dmith,c25dhaus,c25bland,c25bwerk,c25bhand,c25bverw,c25bgsun,c25bhaus,c25selb,c25hsgew,c25anges,c25arbei,c25mith,c25berwt,c25bbrlo,c25pop,c25prot,c25kath,c25juden,c33pop1,c33erwp,c33werwp,c33erwtt,c33erlos,c33brlos,c33aohb,c33waohb,c33land,c33indu,c33hndl,c33dnst,c33haus,c33selb,c33mith,c33beamt,c33angs,c33arbei,c33hsang,c33eloan,c33eloar,c33eloha,c33pop2,c33lv,rwz1,rwz2a,rwz2b,rwz2c,rwz2d,rwz3,rwz4a,rwz4b,rwz4c,rwz5,rwz6,rwz7,rwz8a,rwz8b,rwz8c,rwz8d,rwz9,rwz10a,rwz10b,rwz10c,rwz11,alos30d,alu30d,kru30d,we30d,alos31d,alu31d,kru31d,we31d,alos32d,alu32d,kru32d,we32d,com,treatment
0,4798,5329,1060,stadtkreise,ZWICKAU,30,2,5329,5329,1060,80358.0,218.0,0.0,33.0,371.0,214.0,5040.0,314.0,6072.0,29849.0,302.0,5053.0,8791.0,3006.0,630.0,613.0,5057.0,285.0,3.0,554.0,0.0,635.0,557.0,14.0,1.0,0.0,12.0,204.0,0.0,1673.0,836.0,41263.0,17480.0,5958.0,1760.0,1890.0,11479.0,314.0,20600.0,34272.0,1163.0,69187.0,11171.0,80358.0,73882.0,3025.0,362.0,84701.0,38912.0,12440.0,30218.0,8694.0,9826.0,35963.0,26898.0,578.0,13398.0,10540.0,4296.0,1406.0,4951.0,1387.0,3385.0,6005.0,13121.0,1369.0,1631.0,6765.0,298.0,84701.0,994.0,80358.0,5377.0,2748.0,179.0,575.0,21763.0,588.0,359.0,53.0,78615.0,80278.0,736280.0,147.0,472.0,325.0,56.0,37.0,18097.0,1857.0,1809.0,2185.0,6820.0,3193.0,1580.0,2047.0,8751.0,2216.0,2786.0,3749.0,10395.0,2130.0,2409.0,5856.0,1,0
1,5323,4794,996,stadtkreise,ZWEIBRUECKEN,27,1,4794,4794,996,15783.0,172.0,0.0,44.0,162.0,182.0,1486.0,21.0,1514.0,4293.0,69.0,1014.0,1418.0,505.0,191.0,305.0,1343.0,47.0,0.0,180.0,0.0,63.0,47.0,2.0,0.0,0.0,0.0,96.0,0.0,500.0,560.0,7362.0,3128.0,1695.0,292.0,596.0,3157.0,21.0,4382.0,5150.0,444.0,13633.0,2150.0,15783.0,10326.0,5067.0,184.0,20759.0,8821.0,2601.0,6558.0,2263.0,2226.0,9712.0,7133.0,406.0,3095.0,1479.0,1068.0,510.0,1285.0,358.0,871.0,1108.0,2426.0,510.0,432.0,1782.0,49.0,20759.0,681.0,19600.0,9600.0,8927.0,4.0,23.0,4928.0,334.0,551.0,115.0,21519.0,19462.0,176135.0,200.0,491.0,272.0,37.0,19.0,4473.0,245.0,210.0,361.0,999.0,495.0,245.0,259.0,1507.0,496.0,472.0,539.0,1594.0,184.0,426.0,984.0,1,0
2,5522,4993,1021,stadtkreise,ZITTAU,28,2,4993,4993,1021,38353.0,327.0,0.0,31.0,466.0,146.0,3253.0,180.0,3337.0,12437.0,175.0,3067.0,4036.0,1466.0,305.0,431.0,2489.0,169.0,6.0,344.0,0.0,260.0,249.0,7.0,2.0,0.0,6.0,80.0,0.0,1346.0,970.0,19202.0,8874.0,3095.0,860.0,1434.0,7424.0,180.0,10159.0,14867.0,639.0,34435.0,3918.0,38353.0,31831.0,4696.0,124.0,39719.0,20170.0,7714.0,15141.0,5029.0,4422.0,15127.0,11179.0,678.0,6840.0,4505.0,2104.0,1014.0,3319.0,933.0,1458.0,2761.0,5667.0,1003.0,1053.0,3751.0,225.0,39719.0,1159.0,38353.0,6917.0,4678.0,61.0,349.0,11243.0,556.0,382.0,62.0,41977.0,38723.0,357565.0,187.0,521.0,256.0,36.0,23.0,9501.0,1049.0,693.0,1509.0,2943.0,1492.0,984.0,467.0,2981.0,1112.0,967.0,902.0,3922.0,856.0,1420.0,1646.0,1,0
3,1567,1568,328,GEMEINDEN AB 2000 E.,ZEULENRODA,12,1,1568,1568,328,11047.0,110.0,0.0,3.0,55.0,160.0,1273.0,243.0,975.0,5710.0,107.0,406.0,345.0,154.0,146.0,41.0,294.0,97.0,2.0,82.0,0.0,23.0,20.0,0.0,0.0,0.0,6.0,11.0,0.0,185.0,328.0,8065.0,1051.0,434.0,125.0,202.0,1912.0,243.0,1646.0,6047.0,415.0,10205.0,842.0,11047.0,9973.0,146.0,1.0,12247.0,6404.0,2324.0,4776.0,1628.0,1252.0,4591.0,3355.0,205.0,3327.0,752.0,305.0,187.0,886.0,259.0,181.0,675.0,2589.0,186.0,180.0,1422.0,26.0,12247.0,315.0,11047.0,9286.0,8231.0,8.0,41.0,3251.0,604.0,357.0,39.0,11309.0,11103.0,102280.0,172.0,489.0,306.0,33.0,22.0,2922.0,196.0,133.0,352.0,,,,,,,,,,,,,1,0
4,1320,1321,287,GEMEINDEN AB 2000 E.,ZERBST,10,2,1321,1321,287,19470.0,719.0,0.0,38.0,612.0,479.0,1737.0,82.0,810.0,6984.0,127.0,1132.0,947.0,812.0,187.0,147.0,1275.0,188.0,1.0,164.0,0.0,63.0,62.0,5.0,0.0,0.0,2.0,183.0,0.0,486.0,1848.0,9658.0,3078.0,1611.0,294.0,671.0,3899.0,82.0,3135.0,8841.0,799.0,17160.0,2310.0,19470.0,17924.0,467.0,92.0,20151.0,9090.0,2756.0,7047.0,2043.0,2114.0,8947.0,6461.0,1404.0,2803.0,1418.0,1053.0,369.0,1528.0,980.0,658.0,806.0,2708.0,367.0,207.0,1756.0,80.0,20151.0,2427.0,19470.0,9399.0,8412.0,13.0,93.0,5310.0,474.0,453.0,73.0,21271.0,19114.0,173040.0,226.0,472.0,274.0,28.0,13.0,4719.0,259.0,332.0,664.0,1548.0,853.0,195.0,500.0,1790.0,531.0,423.0,836.0,2184.0,409.0,386.0,1389.0,1,0
5,1715,1716,355,stadtkreise,ZELLA-MEHLIS,12,1,1716,1716,355,14423.0,21.0,0.0,21.0,46.0,150.0,2107.0,299.0,1394.0,7911.0,64.0,556.0,519.0,160.0,110.0,58.0,308.0,26.0,0.0,61.0,0.0,20.0,15.0,3.0,0.0,0.0,1.0,17.0,0.0,225.0,238.0,11476.0,1345.0,392.0,99.0,243.0,2803.0,299.0,2263.0,8175.0,327.0,13793.0,630.0,14423.0,12918.0,231.0,11.0,14100.0,6704.0,1410.0,5587.0,1117.0,773.0,6623.0,5220.0,73.0,4356.0,667.0,319.0,172.0,820.0,149.0,230.0,849.0,3368.0,171.0,135.0,971.0,11.0,14100.0,126.0,14423.0,9778.0,9346.0,0.0,0.0,3493.0,356.0,582.0,62.0,14395.0,13552.0,121900.0,139.0,545.0,290.0,26.0,16.0,3033.0,247.0,213.0,193.0,,,,,,,,,,,,,1,0
6,1478,1479,312,stadtkreise,ZEITZ,11,1,1479,1479,312,34590.0,54.0,0.0,35.0,234.0,46.0,2589.0,128.0,2886.0,15839.0,130.0,1962.0,2616.0,1356.0,242.0,249.0,1460.0,155.0,7.0,268.0,0.0,125.0,136.0,7.0,0.0,0.0,36.0,159.0,0.0,900.0,369.0,21444.0,6176.0,1871.0,536.0,1095.0,5122.0,128.0,7158.0,17879.0,432.0,31491.0,3099.0,35122.0,31486.0,1021.0,95.0,35604.0,16276.0,4986.0,11211.0,5065.0,3826.0,15502.0,11597.0,156.0,5887.0,3154.0,1370.0,644.0,2081.0,564.0,920.0,2208.0,4808.0,630.0,694.0,4254.0,117.0,35604.0,479.0,34590.0,5910.0,2878.0,287.0,806.0,9425.0,497.0,451.0,52.0,35783.0,34714.0,318460.0,172.0,486.0,300.0,42.0,25.0,7979.0,688.0,758.0,982.0,3244.0,1228.0,617.0,1399.0,4628.0,1042.0,1180.0,2406.0,4780.0,481.0,912.0,3387.0,1,0
7,5620,5091,1036,stadtkreise,WURZEN,29,1,5091,5091,1036,18286.0,78.0,0.0,19.0,163.0,30.0,1528.0,139.0,1615.0,8666.0,90.0,899.0,1160.0,438.0,166.0,119.0,870.0,42.0,1.0,147.0,0.0,64.0,54.0,5.0,0.0,0.0,2.0,32.0,0.0,401.0,290.0,11899.0,2663.0,1032.0,270.0,435.0,2771.0,139.0,3730.0,9395.0,292.0,16589.0,1697.0,18286.0,16913.0,360.0,15.0,18961.0,9192.0,2866.0,6089.0,3103.0,1847.0,7922.0,5883.0,210.0,3252.0,1636.0,715.0,276.0,1206.0,415.0,452.0,1125.0,2616.0,275.0,362.0,2677.0,64.0,18961.0,381.0,18286.0,7363.0,4748.0,96.0,418.0,5107.0,453.0,492.0,55.0,20009.0,18649.0,170990.0,175.0,531.0,267.0,27.0,15.0,4337.0,387.0,383.0,604.0,,,,,,,,,,,,,1,0
8,3892,3893,741,stadtkreise,WUPPERTAL,22,1,3893,3893,741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405515.0,289335.0,83260.0,3102.0,408602.0,198297.0,63296.0,140282.0,58015.0,36161.0,174144.0,133078.0,3412.0,74481.0,39653.0,15180.0,7556.0,25232.0,6153.0,9812.0,28184.0,63535.0,7366.0,10983.0,46006.0,1026.0,408602.0,6010.0,,,,,,,,,,,,,,,,,,,,,,32601.0,16357.0,7965.0,8279.0,44739.0,13038.0,16082.0,15619.0,48444.0,4542.0,13318.0,30584.0,1,0
9,4672,4673,971,stadtkreise,WUERZBURG,26,4,4673,4673,971,89910.0,427.0,0.0,137.0,864.0,152.0,7402.0,600.0,3706.0,14689.0,226.0,7111.0,13739.0,6188.0,567.0,1851.0,9864.0,598.0,9.0,906.0,0.0,1165.0,614.0,12.0,3.0,0.0,83.0,597.0,0.0,3560.0,1580.0,26023.0,27605.0,12322.0,2697.0,4243.0,17700.0,600.0,28694.0,23550.0,966.0,74470.0,15440.0,89910.0,18383.0,68732.0,2261.0,101003.0,44470.0,15350.0,38134.0,6336.0,15363.0,41170.0,30390.0,1210.0,11357.0,12706.0,9406.0,3455.0,6582.0,1602.0,6139.0,9194.0,11290.0,3327.0,1644.0,4461.0,231.0,101003.0,2365.0,89910.0,5998.0,3211.0,401.0,1221.0,21843.0,379.0,523.0,98.0,91947.0,85156.0,784435.0,175.0,512.0,280.0,33.0,20.0,16838.0,3062.0,1943.0,2391.0,3949.0,2078.0,633.0,1238.0,4867.0,1416.0,1286.0,2165.0,4632.0,649.0,807.0,3176.0,1,0
