,Unnamed: 0,lfnr,krnr,agglvl,name,wkr,regbez,n206pop,n206wb,n206as,n206us,n206gs,n206dnvp,n206dvp,n206z,n206ddp,n206spd,n206uspd,n206kpd,n206bvpx,n206bbb,n206dmpx,n206ndvx,n206x,n245pop,n245wb,n245as,n245us,n245gs,n245dnvp,n245dvfp,n245dvp,n245z,n245ddp,n245spd,n245kpd,n245bvpx,n245wpx,n245dsp,n245uspd,n245x,n24dpop,n24dwb,n24das,n24dus,n24dgs,n24ddnvp,n24dnsfb,n24ddvp,n24dz,n24dddp,n24dspd,n24dkpd,n24dbvpx,n24dwpx,n24ddszx,n24duspd,n24dx,n285pop,n285wb,n285as,n285us,n285gs,n285spd,n285dnvp,n285zx,n285dvp,n285kpd,n285ddpx,n285wp,n285nsda,n285dbpx,n285dlvx,n285vrp,n285x,n309pop,n309wb,n309as,n309us,n309gs,n309spd,n309dnvp,n309zx,n309kpd,n309dvp,n309dstp,n309wp,n309nsda,n309dlvx,n309kvp,n309csvd,n309x,n327pop,n327wb,n327as,n327us,n327gs,n327spd,n327nsda,n327kpd,n327zx,n327dnvp,n327dvp,n327dlvx,n327dstp,n327wp,n327csvd,n327x,n32npop,n32nwb,n32nas,n32nus,n32ngs,n32nnsda,n32nspd,n32nkpd,n32nzx,n32ndnvp,n32ndvp,n32ndstp,n32ncsvd,n32nwp,n32nvb,n32nx,n333pop,n333wb,n333as,n333us,n333gs,n333nsda,n333spd,n333kpd,n333zx,n333kf,n333dvp,n333csvd,n333dbpx,n333dhp,n333dstp,n333x,agg2024,agg2424,agg2428,agg2830,agg3033,agg2833,agg3032,agg3232,agg3233,com,treatment
0,4226,4227,802,stadtkreise,AUGSBURG,24,2,154555.0,92701.0,78803.0,2001.0,76802.0,0.0,6274.0,0.0,7870.0,19020.0,15517.0,91.0,27993.0,37.0,0.0,0.0,0.0,154555.0,98611.0,67376.0,512.0,66864.0,5536.0,13762.0,622.0,728.0,2127.0,17174.0,6076.0,19787.0,312.0,0.0,393.0,347.0,154555.0,100615.0,75639.0,966.0,74673.0,11149.0,3095.0,1615.0,0.0,3001.0,26143.0,5108.0,22982.0,1144.0,0.0,135.0,301.0,165522.0,109533.0,85794.0,1350.0,84444.0,31272.0,6108.0,24993.0,2358.0,4816.0,2689.0,3955.0,5926.0,216.0,0.0,1151.0,960.0,165522.0,113547.0,95591.0,568.0,95023.0,25643.0,3783.0,30706.0,11012.0,975.0,3369.0,3240.0,11907.0,0.0,1768.0,2080.0,540.0,165522.0,117063.0,93889.0,362.0,93527.0,24933.0,21574.0,12024.0,28363.0,3970.0,484.0,0.0,440.0,726.0,709.0,304.0,165522.0,121549.0,88447.0,341.0,88106.0,20274.0,21998.0,12843.0,24895.0,5513.0,464.0,449.0,675.0,412.0,68.0,515.0,165522.0,121306.0,109034.0,407.0,108627.0,35103.0,25030.0,11069.0,29394.0,6130.0,358.0,958.0,85.0,0.0,500.0,0.0,4227,4227,4227,4227,4227,4227,4227,4227,4227,1,1
1,164,165,48,stadtkreise,BERLIN,2,1,292761.0,205834.0,153450.0,866.0,152584.0,20746.0,26784.0,5741.0,15086.0,24090.0,54052.0,1755.0,0.0,4298.0,0.0,32.0,0.0,292761.0,218392.0,160141.0,1248.0,158893.0,38217.0,7058.0,13025.0,6783.0,18564.0,30658.0,23776.0,952.0,6534.0,5101.0,5246.0,2979.0,292761.0,223833.0,166996.0,2282.0,164714.0,41055.0,3119.0,9852.0,7166.0,21937.0,47785.0,24290.0,45.0,5651.0,1841.0,1069.0,904.0,295837.0,231429.0,171403.0,1373.0,170030.0,53189.0,30478.0,6285.0,8426.0,43959.0,15183.0,4434.0,3068.0,0.0,283.0,380.0,4345.0,295837.0,235714.0,178208.0,994.0,177214.0,45123.0,23425.0,6998.0,52872.0,5096.0,9350.0,4128.0,26359.0,88.0,694.0,1347.0,1734.0,295837.0,210090.0,164957.0,816.0,164141.0,42845.0,46640.0,49562.0,8219.0,12072.0,706.0,23.0,2203.0,300.0,541.0,1030.0,295837.0,218733.0,169230.0,922.0,168308.0,43524.0,37294.0,57980.0,7596.0,16591.0,983.0,2065.0,695.0,117.0,11.0,1452.0,295837.0,217223.0,182654.0,1261.0,181393.0,64730.0,36588.0,47580.0,9289.0,18528.0,939.0,827.0,14.0,12.0,2849.0,37.0,165,165,165,165,165,165,165,165,165,1,1
2,247,248,87,stadtkreise,BRANDENBURG,4,2,52972.0,34694.0,30390.0,50.0,30340.0,1827.0,4758.0,584.0,2637.0,13890.0,4509.0,227.0,0.0,1896.0,0.0,12.0,0.0,52972.0,37863.0,33309.0,607.0,32702.0,5742.0,2231.0,2921.0,678.0,1772.0,10990.0,4676.0,506.0,2045.0,445.0,375.0,321.0,52972.0,38861.0,34891.0,380.0,34511.0,6954.0,1179.0,3429.0,745.0,2278.0,15037.0,2934.0,0.0,1738.0,47.0,76.0,94.0,59297.0,42716.0,38229.0,406.0,37823.0,19956.0,6221.0,732.0,3013.0,2556.0,2076.0,1699.0,577.0,17.0,34.0,205.0,737.0,60953.0,44725.0,41673.0,391.0,41282.0,17247.0,5132.0,853.0,5021.0,1260.0,1352.0,1829.0,7667.0,87.0,148.0,417.0,269.0,60953.0,44529.0,41653.0,318.0,41335.0,17241.0,16060.0,4409.0,831.0,1864.0,199.0,2.0,305.0,131.0,129.0,164.0,60953.0,45563.0,41741.0,443.0,41298.0,14914.0,15005.0,6709.0,799.0,2879.0,267.0,256.0,149.0,123.0,1.0,196.0,60953.0,45822.0,43533.0,468.0,43065.0,18738.0,14358.0,5680.0,899.0,2835.0,194.0,138.0,8.0,0.0,211.0,4.0,248,248,248,248,248,248,248,248,248,1,1
3,2483,2484,512,stadtkreise,BRAUNSCHWEIG,16,3,139539.0,96482.0,81549.0,107.0,81442.0,14371.0,14692.0,1364.0,6026.0,6538.0,34573.0,1112.0,2740.0,0.0,24.0,2.0,0.0,139539.0,101079.0,85510.0,518.0,84992.0,17739.0,10804.0,13321.0,1339.0,3900.0,22336.0,9523.0,0.0,1847.0,407.0,2895.0,881.0,139539.0,105322.0,89473.0,979.0,88494.0,21752.0,4517.0,15949.0,1695.0,4264.0,31547.0,5559.0,2172.0,0.0,67.0,767.0,205.0,146725.0,109062.0,94485.0,562.0,93923.0,48582.0,8846.0,1739.0,15336.0,4380.0,3150.0,1303.0,6361.0,27.0,1731.0,1678.0,790.0,146725.0,112759.0,103265.0,985.0,102280.0,41621.0,4999.0,2072.0,8828.0,8974.0,2968.0,3606.0,25252.0,151.0,968.0,1173.0,1668.0,146725.0,113742.0,102541.0,819.0,101722.0,36452.0,44233.0,11109.0,2357.0,4501.0,1347.0,15.0,659.0,94.0,393.0,562.0,146725.0,117947.0,105725.0,952.0,104773.0,42532.0,36644.0,13030.0,2129.0,6394.0,2529.0,529.0,449.0,55.0,12.0,470.0,146725.0,119736.0,109716.0,966.0,108750.0,47386.0,35784.0,12466.0,2427.0,7308.0,2164.0,445.0,10.0,124.0,636.0,0.0,2484,2484,2484,2484,2484,2484,2484,2484,2484,1,1
4,2187,2188,438,stadtkreise,BREMEN,14,4,257923.0,170355.0,146220.0,1444.0,144776.0,8699.0,36711.0,2698.0,18895.0,24010.0,46454.0,6916.0,393.0,0.0,0.0,0.0,0.0,270506.0,195008.0,158488.0,1533.0,156955.0,20541.0,14602.0,28616.0,3405.0,17764.0,46929.0,22263.0,0.0,826.0,327.0,581.0,1101.0,270506.0,196207.0,162380.0,1658.0,160722.0,18652.0,8852.0,32670.0,3901.0,21425.0,59172.0,14590.0,697.0,0.0,272.0,0.0,491.0,294966.0,216487.0,175331.0,1533.0,173798.0,72721.0,11298.0,4269.0,33598.0,18169.0,17333.0,11104.0,1861.0,59.0,543.0,728.0,2115.0,294966.0,226785.0,192248.0,2088.0,190160.0,62456.0,12045.0,4816.0,23493.0,33517.0,11502.0,7482.0,22032.0,97.0,6711.0,1320.0,4689.0,294966.0,224122.0,185720.0,1749.0,183971.0,62476.0,55174.0,25350.0,5106.0,22871.0,8246.0,42.0,2264.0,566.0,875.0,1001.0,294966.0,234050.0,190478.0,1997.0,188481.0,38500.0,57765.0,32469.0,4615.0,32760.0,16759.0,2217.0,1012.0,341.0,10.0,2033.0,294966.0,235613.0,210941.0,1627.0,209314.0,67639.0,62862.0,28233.0,4881.0,30107.0,11927.0,1187.0,27.0,279.0,2172.0,0.0,2188,2188,2188,2188,2188,2188,2188,2188,2188,1,1
5,1553,1554,326,stadtkreise,GOTHA,12,1,39535.0,25790.0,23084.0,99.0,22985.0,2144.0,5691.0,322.0,3431.0,1276.0,9903.0,218.0,0.0,0.0,0.0,0.0,0.0,46974.0,33295.0,24196.0,166.0,24030.0,2619.0,4428.0,5968.0,312.0,1037.0,1734.0,6580.0,478.0,271.0,0.0,122.0,481.0,46974.0,33454.0,25273.0,182.0,25091.0,3496.0,2835.0,6356.0,374.0,1228.0,2245.0,7504.0,470.0,304.0,0.0,0.0,279.0,45780.0,32743.0,23665.0,246.0,23419.0,2871.0,3031.0,355.0,4546.0,7232.0,971.0,1765.0,1467.0,14.0,294.0,505.0,368.0,45780.0,33520.0,25976.0,470.0,25506.0,2289.0,1773.0,500.0,7685.0,2547.0,1237.0,1377.0,6288.0,296.0,470.0,642.0,402.0,45780.0,33435.0,26540.0,532.0,26008.0,1854.0,12172.0,7377.0,629.0,1911.0,1006.0,137.0,300.0,262.0,261.0,99.0,45780.0,34485.0,25820.0,364.0,25456.0,10044.0,1923.0,7473.0,474.0,2845.0,1466.0,278.0,299.0,173.0,0.0,481.0,45780.0,35320.0,29895.0,354.0,29541.0,14727.0,1693.0,7504.0,551.0,3667.0,867.0,274.0,9.0,4.0,237.0,8.0,1554,1554,1554,1554,1554,1554,1554,1554,1554,1,1
6,1344,1345,292,stadtkreise,HALLE A. D. SAALE,11,1,182326.0,138129.0,106842.0,263.0,106579.0,17328.0,19905.0,1434.0,12717.0,10133.0,44503.0,559.0,0.0,0.0,0.0,0.0,0.0,182326.0,124843.0,110214.0,2057.0,108157.0,26313.0,8208.0,18923.0,1867.0,6216.0,11222.0,29886.0,0.0,2421.0,450.0,1404.0,1247.0,182326.0,133451.0,108916.0,999.0,107917.0,29419.0,3680.0,17812.0,1933.0,9927.0,13043.0,27186.0,0.0,3130.0,145.0,312.0,1330.0,194575.0,146310.0,112708.0,1201.0,111507.0,16943.0,23454.0,2195.0,19702.0,31598.0,6206.0,4071.0,2814.0,15.0,35.0,1649.0,2825.0,194636.0,152483.0,125712.0,761.0,124951.0,15647.0,14636.0,2281.0,32424.0,10250.0,4785.0,7092.0,31737.0,223.0,2565.0,1776.0,1535.0,194636.0,151632.0,125191.0,789.0,124402.0,18502.0,51493.0,31800.0,2947.0,13942.0,2225.0,24.0,1450.0,574.0,576.0,869.0,194636.0,156873.0,124282.0,859.0,123423.0,39633.0,16586.0,35002.0,2703.0,21128.0,3856.0,1392.0,798.0,972.0,17.0,1336.0,194636.0,158092.0,137766.0,1087.0,136679.0,59717.0,16529.0,31593.0,3023.0,21587.0,2267.0,803.0,34.0,0.0,1126.0,0.0,1345,1345,1345,1345,1345,1345,1345,1345,1345,1,1
7,6098,6099,1187,stadtkreise,HAMBURG,34,1,985779.0,713809.0,532179.0,2583.0,529596.0,65803.0,77201.0,5575.0,92330.0,204387.0,80729.0,2879.0,254.0,0.0,0.0,192.0,246.0,985779.0,758323.0,593914.0,3973.0,589941.0,114498.0,36123.0,68988.0,9239.0,77357.0,162315.0,110933.0,0.0,1443.0,0.0,3050.0,5995.0,985779.0,787119.0,596855.0,3198.0,593657.0,127112.0,13640.0,75272.0,10445.0,75320.0,190711.0,87521.0,828.0,0.0,637.0,1474.0,10697.0,1079126.0,827048.0,655639.0,5985.0,649654.0,238833.0,82061.0,10303.0,85823.0,112636.0,76439.0,15688.0,17198.0,0.0,827.0,3634.0,6212.0,1080216.0,855374.0,709903.0,7018.0,702885.0,223841.0,27930.0,10512.0,131148.0,63021.0,60937.0,15532.0,133726.0,283.0,19660.0,11390.0,4905.0,1080216.0,844679.0,709364.0,7969.0,701395.0,220741.0,233465.0,128868.0,14548.0,35004.0,13384.0,0.0,43441.0,3068.0,6159.0,2717.0,1080216.0,868891.0,720255.0,9732.0,710523.0,191498.0,201143.0,160696.0,12750.0,64134.0,23088.0,39385.0,6828.0,1817.0,0.0,9184.0,1080216.0,871764.0,774343.0,8457.0,765886.0,296225.0,204249.0,138839.0,15111.0,59001.0,18405.0,6410.0,134.0,311.0,27201.0,0.0,6099,6099,6099,6099,6099,6099,6099,6099,6099,1,1
8,3238,3239,641,stadtkreise,KASSEL,19,1,162391.0,99795.0,91095.0,393.0,90702.0,18762.0,16866.0,3644.0,10230.0,30904.0,10174.0,122.0,0.0,0.0,0.0,0.0,0.0,162391.0,112561.0,98159.0,1671.0,96488.0,19321.0,7659.0,16287.0,4678.0,10092.0,31099.0,6405.0,0.0,369.0,0.0,403.0,175.0,162391.0,112036.0,97570.0,1008.0,96562.0,19304.0,3523.0,16414.0,4607.0,10656.0,37437.0,3368.0,232.0,547.0,0.0,377.0,97.0,171661.0,122776.0,99234.0,1836.0,97398.0,38785.0,12627.0,4170.0,17552.0,6939.0,7667.0,2039.0,3174.0,47.0,244.0,1021.0,3133.0,172035.0,126863.0,104933.0,826.0,104107.0,33879.0,6345.0,4196.0,9583.0,6642.0,5633.0,3465.0,27060.0,190.0,1101.0,5393.0,620.0,172071.0,121341.0,104509.0,963.0,103546.0,30511.0,43982.0,11789.0,4624.0,6691.0,1903.0,23.0,1203.0,244.0,2096.0,480.0,172071.0,126080.0,106350.0,979.0,105371.0,42628.0,26688.0,15147.0,4424.0,9528.0,2970.0,967.0,2450.0,125.0,12.0,432.0,172071.0,127535.0,115376.0,1355.0,114021.0,55134.0,29144.0,10864.0,4632.0,8227.0,2181.0,2482.0,13.0,46.0,1298.0,0.0,3239,3239,3239,3239,3239,3239,3239,3239,3239,1,1
9,5584,5055,1030,stadtkreise,LEIPZIG,29,1,604380.0,409562.0,347756.0,870.0,346886.0,42095.0,86027.0,1955.0,29904.0,25247.0,153298.0,6416.0,0.0,0.0,1944.0,0.0,0.0,636485.0,462034.0,381215.0,2316.0,378899.0,47804.0,36601.0,75013.0,2504.0,26424.0,114658.0,58937.0,1148.0,0.0,3511.0,7818.0,4481.0,636485.0,470420.0,399774.0,3186.0,396588.0,56206.0,8254.0,86007.0,3370.0,31328.0,142910.0,50989.0,0.0,8154.0,2789.0,4305.0,2276.0,679159.0,499750.0,411758.0,3083.0,408675.0,153991.0,30340.0,3087.0,67571.0,70090.0,27379.0,18974.0,9462.0,0.0,1536.0,17909.0,8336.0,684728.0,514528.0,458715.0,4296.0,454419.0,158603.0,16748.0,3769.0,83980.0,59152.0,15291.0,23707.0,62559.0,670.0,6505.0,5146.0,18289.0,684737.0,500892.0,444177.0,4081.0,440096.0,150220.0,142093.0,89188.0,6545.0,19693.0,12649.0,182.0,8684.0,2593.0,3433.0,4816.0,684737.0,531754.0,467613.0,4246.0,463367.0,128425.0,154191.0,100377.0,6508.0,34398.0,20305.0,7063.0,4323.0,1819.0,102.0,5856.0,684737.0,551683.0,511340.0,3603.0,507737.0,188985.0,156993.0,92233.0,7105.0,31738.0,12621.0,4749.0,114.0,0.0,13004.0,195.0,5055,5055,5055,5055,5055,5055,5055,5055,5055,1,1
